EPA Facility ID,Chemical
100000182303,Ammonia (anhydrous)
100000021282,Chlorine
100000152023,Chlorine
100000057591,Ammonia (anhydrous)
100000236997,"Toluene 2,4-diisocyanate  [Benzene"
100000236997,"2,4-diisocyanato-1-methyl-]"
100000135819,Dimethyldichlorosilane  [Silane
100000135819,dichlorodimethyl-]
100000135819,Hydrochloric acid (conc 37% or greater)
100000135819,Methyltrichlorosilane  [Silane
100000135819,trichloromethyl-]
100000135819,Acetylene  [Ethyne]
100000135819,Trichlorosilane  [Silane
100000135819,trichloro-]
100000135819,Hydrogen sulfide
100000135819,Trimethylchlorosilane  [Silane
100000135819,chlorotrimethyl-]
100000135819,"Ethylenediamine  [1,2-Ethanediamine]"
100000135819,Ethyl ether  [Ethane
100000135819,"1,1'-oxybis-]"
100000144257,Ammonia (anhydrous)
100000144257,Hydrocyanic acid
100000144257,Propionitrile  [Propanenitrile]
100000144257,Vinyl methyl ether  [Ethene
100000144257,methoxy-]
100000168463,Formaldehyde (solution)
100000168463,Methyl formate  [Formic acid
100000168463,methyl ester]
100000192864,Ammonia (anhydrous)
100000076758,Dichlorosilane  [Silane
100000076758,dichloro-]
100000076758,Trichlorosilane  [Silane
100000076758,trichloro-]
100000172528,Ammonia (anhydrous)
100000230608,Formaldehyde (solution)
100000230608,Ammonia (anhydrous)
100000212584,Hydrogen sulfide
100000135169,Chlorine
100000135169,Methyl mercaptan  [Methanethiol]
100000135169,Trichlorosilane  [Silane
100000135169,trichloro-]
100000135169,Hydrocyanic acid
100000135169,Ammonia (anhydrous)
100000135169,Acrolein  [2-Propenal]
100000135169,Propylene  [1-Propene]
100000199402,Trimethylamine [Methanamine
100000199402,"N,N-dimethyl-]"
100000199402,Epichlorohydrin  [Oxirane
100000199402,(chloromethyl)-]
100000252399,Sulfur dioxide (anhydrous)
100000252399,Chlorine
100000151621,Hydrogen
100000207055,Propane
100000207055,Acetylene  [Ethyne]
100000121405,Chlorine
100000241687,Ammonia (anhydrous)
100000105307,Chlorine
100000207714,Ammonia (anhydrous)
100000091633,Ammonia (anhydrous)
100000049921,Flammable Mixture
100000229638,Ammonia (anhydrous)
100000133036,Ammonia (anhydrous)
100000048691,Chlorine
100000184588,Ammonia (anhydrous)
100000226837,Chlorine
100000084008,Chlorine
100000065181,Ammonia (anhydrous)
100000030389,Chlorine
100000247583,Ammonia (anhydrous)
100000032975,Chlorine
100000175767,Chlorine
100000029113,Chlorine
100000020648,Propane
100000202979,Chlorine
100000117198,Ammonia (anhydrous)
100000058947,Ammonia (anhydrous)
100000028668,Nitric acid (conc 80% or greater)
100000107895,Chlorine
100000107895,Chlorine dioxide  [Chlorine oxide (ClO2)]
100000064798,Chlorine
100000059296,Chlorine dioxide  [Chlorine oxide (ClO2)]
100000120479,Chlorine
100000200301,Ammonia (anhydrous)
100000173411,Ammonia (anhydrous)
100000060006,Ammonia (anhydrous)
100000095782,Ammonia (anhydrous)
100000124046,Chlorine
100000047558,Acetaldehyde
100000047558,CBI Flammable Substance
100000047558,Formaldehyde (solution)
100000047558,Bromine
100000047558,Trimethylamine [Methanamine
100000047558,"N,N-dimethyl-]"
100000047558,Vinyl acetate monomer  [Acetic acid ethenyl ester]
100000047558,Phosphorus oxychloride  [Phosphoryl chloride]
100000047558,Hydrogen chloride (anhydrous) [Hydrochloric acid]
100000047558,Oleum (Fuming Sulfuric acid)  [Sulfuric acid
100000047558,mixture with sulfur trioxide]
100000047558,Chlorine
100000047558,Propylene  [1-Propene]
